Rok,KWP,Województwo,target_mortality_rate,male_pct,female_pct,sober_pct,edu_low_pct,edu_mid_pct,edu_higher_pct,edu_unknown_pct,youth_pct,young_adult_pct,middle_age_pct,senior_pct,substances_pct,SES_instability_index,weekend_pct
2019,Dolnośląskie,Dolnośląskie,0.4133,0.7263,0.2728,0.1542,0.0903,0.1414,0.0201,0.7482,0.0757,0.3613,0.3759,0.1852,0.5255,-0.1715,0.3111
2019,Kujawsko-Pomorskie,Kujawsko-Pomorskie,0.6484,0.8105,0.1895,0.0723,0.1147,0.0998,0.0175,0.7681,0.0574,0.3367,0.3766,0.2244,0.4289,-0.202,0.2918
2019,Lubelskie,Lubelskie,0.4588,0.7571,0.2429,0.1109,0.1424,0.1604,0.018,0.6792,0.0885,0.2744,0.4438,0.1889,0.5607,-0.2129,0.2489
2019,Lubuskie,Lubuskie,0.477,0.7859,0.2141,0.0949,0.0759,0.0434,0.0163,0.8645,0.0623,0.3089,0.4228,0.2033,0.5068,-0.1707,0.3117
2019,Mazowieckie,Mazowieckie,0.6308,0.7906,0.2086,0.0841,0.1194,0.1287,0.0294,0.7225,0.0622,0.2817,0.434,0.2204,0.4323,-0.2414,0.2641
2019,Małopolskie,Małopolskie,0.4019,0.7051,0.2949,0.134,0.1284,0.1684,0.0214,0.6819,0.0912,0.2912,0.426,0.1916,0.6074,-0.2335,0.2753
2019,Opolskie,Opolskie,0.6,0.7907,0.2093,0.1349,0.1349,0.2326,0.0372,0.5953,0.0465,0.3209,0.4047,0.2279,0.5814,-0.3721,0.2884
2019,Podkarpackie,Podkarpackie,0.4312,0.756,0.244,0.1193,0.1615,0.2,0.0312,0.6073,0.0954,0.2789,0.4275,0.1982,0.6899,-0.2495,0.2899
2019,Podlaskie,Podlaskie,0.3731,0.7115,0.2885,0.1627,0.1215,0.1345,0.013,0.731,0.102,0.3167,0.4035,0.1757,0.5879,-0.2017,0.3254
2019,Pomorskie,Pomorskie,0.4637,0.7067,0.2933,0.1007,0.1526,0.1081,0.0104,0.7289,0.1052,0.3111,0.3911,0.1926,0.477,-0.1896,0.2859
2019,Warmińsko-Mazurskie,Warmińsko-Mazurskie,0.3961,0.7872,0.2128,0.1342,0.1375,0.1358,0.0229,0.7038,0.0687,0.347,0.3813,0.2029,0.6105,-0.1522,0.3241
2019,Wielkopolskie,Wielkopolskie,0.5863,0.8072,0.1928,0.1218,0.1205,0.1954,0.0214,0.6627,0.0602,0.2918,0.4391,0.2088,0.4699,-0.3119,0.2945
2019,Zachodniopomorskie,Zachodniopomorskie,0.5057,0.751,0.249,0.1046,0.1388,0.1597,0.0114,0.6901,0.0589,0.3061,0.4087,0.2262,0.6217,-0.2319,0.2966
2019,Łódzkie,Łódzkie,0.2756,0.6805,0.3195,0.1422,0.139,0.1382,0.0288,0.6941,0.0799,0.345,0.4201,0.155,0.7484,-0.2332,0.2963
2019,Śląskie,Śląskie,0.3383,0.6735,0.3265,0.1759,0.1333,0.1889,0.0173,0.6605,0.0907,0.337,0.416,0.1562,0.6352,-0.2543,0.2994
2019,Świętokrzyskie,Świętokrzyskie,0.3711,0.7012,0.2988,0.1797,0.2227,0.3711,0.0566,0.3496,0.0898,0.293,0.416,0.2012,0.7168,-0.2637,0.2793
2020,Dolnośląskie,Dolnośląskie,0.4299,0.747,0.253,0.1463,0.0894,0.1382,0.0234,0.749,0.0539,0.3404,0.4116,0.1941,0.503,-0.1758,0.2815
2020,Kujawsko-Pomorskie,Kujawsko-Pomorskie,0.6439,0.798,0.1995,0.0833,0.096,0.0909,0.0202,0.7929,0.048,0.3359,0.399,0.2146,0.3687,-0.2222,0.2803
2020,Lubelskie,Lubelskie,0.4824,0.754,0.246,0.131,0.1454,0.1789,0.0383,0.6374,0.0879,0.2875,0.4169,0.2077,0.5735,-0.2332,0.278
2020,Lubuskie,Lubuskie,0.4698,0.7619,0.2381,0.1556,0.054,0.0667,0.019,0.8603,0.0508,0.2921,0.419,0.2381,0.4603,-0.1619,0.3111
2020,Mazowieckie,Mazowieckie,0.6256,0.7654,0.2346,0.0965,0.1131,0.1256,0.0366,0.7246,0.0674,0.2879,0.416,0.2255,0.4692,-0.2621,0.292
2020,Małopolskie,Małopolskie,0.4138,0.7021,0.2979,0.1463,0.1272,0.1855,0.027,0.6603,0.0697,0.2901,0.4268,0.2134,0.5662,-0.2666,0.2605
2020,Opolskie,Opolskie,0.5412,0.7474,0.2526,0.1959,0.1546,0.2165,0.0258,0.6031,0.0773,0.3041,0.3814,0.2371,0.5825,-0.2887,0.299
2020,Podkarpackie,Podkarpackie,0.431,0.7517,0.2483,0.1069,0.1345,0.2155,0.0276,0.6224,0.0741,0.3138,0.4052,0.2069,0.6379,-0.2638,0.3017
2020,Podlaskie,Podlaskie,0.3474,0.7651,0.2349,0.1406,0.1084,0.1044,0.0141,0.7731,0.0663,0.3333,0.4679,0.1325,0.6245,-0.1767,0.2892
2020,Pomorskie,Pomorskie,0.4171,0.6906,0.3094,0.134,0.1533,0.1022,0.0235,0.721,0.116,0.3011,0.424,0.1575,0.5,-0.1934,0.3039
2020,Warmińsko-Mazurskie,Warmińsko-Mazurskie,0.4329,0.765,0.235,0.1714,0.1484,0.1643,0.0283,0.659,0.0689,0.2809,0.4894,0.1608,0.6608,-0.1625,0.318
2020,Wielkopolskie,Wielkopolskie,0.5483,0.807,0.193,0.1059,0.1019,0.2118,0.0295,0.6568,0.0442,0.2936,0.4625,0.1997,0.5147,-0.2641,0.2962
2020,Zachodniopomorskie,Zachodniopomorskie,0.4594,0.7561,0.2439,0.1531,0.172,0.1588,0.0189,0.6503,0.0718,0.31,0.4575,0.1588,0.5614,-0.1966,0.3025
2020,Łódzkie,Łódzkie,0.2605,0.6667,0.3333,0.1726,0.1417,0.1378,0.0301,0.6904,0.0697,0.3357,0.4283,0.1663,0.7759,-0.2177,0.289
2020,Śląskie,Śląskie,0.3288,0.6916,0.3084,0.1609,0.1094,0.1896,0.0269,0.6741,0.0761,0.3329,0.4195,0.1714,0.6425,-0.2569,0.3037
2020,Świętokrzyskie,Świętokrzyskie,0.3602,0.7242,0.2758,0.1707,0.1707,0.3902,0.0544,0.3846,0.0675,0.2814,0.4371,0.2139,0.7448,-0.2814,0.3039
2021,Dolnośląskie,Dolnośląskie,0.3965,0.6799,0.3201,0.1673,0.0909,0.1441,0.0222,0.7427,0.0996,0.3269,0.3907,0.1809,0.4807,-0.1683,0.2834
2021,Kujawsko-Pomorskie,Kujawsko-Pomorskie,0.6205,0.7522,0.2478,0.0826,0.1317,0.1138,0.0156,0.7388,0.096,0.2701,0.4107,0.221,0.3683,-0.2768,0.2991
2021,Lubelskie,Lubelskie,0.4421,0.6901,0.3085,0.1501,0.1295,0.1763,0.0262,0.668,0.095,0.281,0.4105,0.2121,0.5124,-0.2383,0.2948
2021,Lubuskie,Lubuskie,0.5315,0.7327,0.2673,0.1081,0.0601,0.0661,0.015,0.8589,0.045,0.3153,0.4024,0.2372,0.4955,-0.2312,0.3123
2021,Mazowieckie,Mazowieckie,0.591,0.7631,0.2369,0.098,0.1103,0.1466,0.0216,0.7215,0.0787,0.2917,0.4414,0.1813,0.4576,-0.2323,0.2901
2021,Małopolskie,Małopolskie,0.3468,0.6532,0.3468,0.1438,0.1389,0.1569,0.0181,0.6861,0.1331,0.2909,0.4067,0.1693,0.5941,-0.2251,0.3024
2021,Opolskie,Opolskie,0.531,0.823,0.177,0.1637,0.1372,0.2301,0.031,0.6018,0.0619,0.2743,0.4425,0.2168,0.6018,-0.3009,0.3097
2021,Podkarpackie,Podkarpackie,0.4263,0.7639,0.2361,0.1252,0.1601,0.2108,0.0238,0.6054,0.0856,0.309,0.4295,0.1759,0.6133,-0.2139,0.2995
2021,Podlaskie,Podlaskie,0.2712,0.7177,0.2823,0.1661,0.1218,0.1347,0.0092,0.7343,0.0996,0.3653,0.4041,0.131,0.6882,-0.2232,0.3007
2021,Pomorskie,Pomorskie,0.191,0.6185,0.3815,0.2036,0.1821,0.0991,0.0185,0.7003,0.1851,0.3618,0.3552,0.0973,0.5588,-0.1331,0.3176
2021,Warmińsko-Mazurskie,Warmińsko-Mazurskie,0.3726,0.6667,0.3333,0.1538,0.1436,0.1487,0.0188,0.6889,0.1009,0.3145,0.4222,0.1624,0.6547,-0.2068,0.2752
2021,Wielkopolskie,Wielkopolskie,0.5124,0.7878,0.2122,0.1352,0.1365,0.232,0.0273,0.6042,0.062,0.3015,0.4491,0.1861,0.5707,-0.2891,0.2866
2021,Zachodniopomorskie,Zachodniopomorskie,0.4125,0.6785,0.3215,0.1515,0.1835,0.1195,0.0185,0.6785,0.1296,0.2912,0.3906,0.1886,0.6263,-0.2357,0.298
2021,Łódzkie,Łódzkie,0.2406,0.6395,0.3605,0.1628,0.1355,0.1473,0.0252,0.6921,0.0888,0.3323,0.4175,0.1606,0.772,-0.2184,0.2924
2021,Śląskie,Śląskie,0.3223,0.6545,0.3455,0.17,0.1462,0.186,0.0227,0.6451,0.1141,0.3184,0.4109,0.1561,0.619,-0.247,0.2879
2021,Świętokrzyskie,Świętokrzyskie,0.3561,0.6989,0.3011,0.2045,0.2008,0.3883,0.0568,0.3542,0.1098,0.303,0.4318,0.1553,0.6553,-0.2576,0.2917
2022,Dolnośląskie,Dolnośląskie,0.4106,0.6813,0.3187,0.1778,0.1179,0.1259,0.019,0.7373,0.1089,0.3197,0.4096,0.1588,0.4525,-0.1618,0.2677
2022,Kujawsko-Pomorskie,Kujawsko-Pomorskie,0.5373,0.6882,0.3118,0.1137,0.0902,0.0902,0.0137,0.8059,0.0941,0.2902,0.4196,0.1941,0.4275,-0.2118,0.2863
2022,Lubelskie,Lubelskie,0.4008,0.6612,0.3388,0.1416,0.2035,0.1884,0.0253,0.5828,0.1568,0.268,0.4083,0.1669,0.5752,-0.2263,0.2933
2022,Lubuskie,Lubuskie,0.4441,0.6997,0.3003,0.1246,0.1118,0.0863,0.0192,0.7827,0.1054,0.3195,0.393,0.1821,0.5591,-0.2204,0.2843
2022,Mazowieckie,Mazowieckie,0.5437,0.6955,0.3045,0.1255,0.1365,0.1541,0.0396,0.6698,0.113,0.2949,0.3903,0.201,0.4659,-0.2135,0.2898
2022,Małopolskie,Małopolskie,0.3159,0.6156,0.3844,0.181,0.1687,0.1572,0.0193,0.6549,0.1487,0.3228,0.3606,0.168,0.5709,-0.188,0.302
2022,Opolskie,Opolskie,0.5094,0.6667,0.3333,0.1386,0.1273,0.1685,0.0187,0.6854,0.0787,0.2547,0.4157,0.2509,0.5805,-0.206,0.2397
2022,Podkarpackie,Podkarpackie,0.3842,0.7151,0.2849,0.141,0.177,0.2345,0.0317,0.5568,0.1381,0.2835,0.4216,0.1554,0.5928,-0.2043,0.2806
