Rok,KWP,Województwo,target_mortality_rate,male_pct,education_higher_pct,youth_pct,young_adult_pct,middle_age_pct,senior_pct,SES_instability_index,substances_pct,institution_contact_pct,weekend_pct
2019,Pomorskie,Pomorskie,0.4637,0.7067,0.0104,0.1052,0.3111,0.3911,0.1926,-0.1896,0.477,0.157,0.2859
2019,Warmińsko-Mazurskie,Warmińsko-Mazurskie,0.3961,0.7872,0.0229,0.0687,0.347,0.3813,0.2029,-0.1522,0.6105,0.1309,0.3241
2019,Wielkopolskie,Wielkopolskie,0.5863,0.8072,0.0214,0.0602,0.2918,0.4391,0.2088,-0.3119,0.4699,0.1486,0.2945
2019,Zachodniopomorskie,Zachodniopomorskie,0.5057,0.751,0.0114,0.0589,0.3061,0.4087,0.2262,-0.2319,0.6217,0.1369,0.2966
2019,Łódzkie,Łódzkie,0.2756,0.6805,0.0288,0.0799,0.345,0.4201,0.155,-0.2332,0.7484,0.1917,0.2963
2019,Śląskie,Śląskie,0.3383,0.6735,0.0173,0.0907,0.337,0.416,0.1562,-0.2543,0.6352,0.1988,0.2994
2019,Świętokrzyskie,Świętokrzyskie,0.3711,0.7012,0.0566,0.0898,0.293,0.416,0.2012,-0.2637,0.7168,0.2148,0.2793
2020,Dolnośląskie,Dolnośląskie,0.4299,0.747,0.0234,0.0539,0.3404,0.4116,0.1941,-0.1758,0.503,0.125,0.2815
2020,Kujawsko-Pomorskie,Kujawsko-Pomorskie,0.6439,0.798,0.0202,0.048,0.3359,0.399,0.2146,-0.2222,0.3687,0.1086,0.2803
2020,Lubelskie,Lubelskie,0.4824,0.754,0.0383,0.0879,0.2875,0.4169,0.2077,-0.2332,0.5735,0.1278,0.278
2020,Lubuskie,Lubuskie,0.4698,0.7619,0.019,0.0508,0.2921,0.419,0.2381,-0.1619,0.4603,0.1175,0.3111
2020,Mazowieckie,Mazowieckie,0.6256,0.7654,0.0366,0.0674,0.2879,0.416,0.2255,-0.2621,0.4692,0.1556,0.292
2020,Małopolskie,Małopolskie,0.4138,0.7021,0.027,0.0697,0.2901,0.4268,0.2134,-0.2666,0.5662,0.2064,0.2605
2020,Opolskie,Opolskie,0.5412,0.7474,0.0258,0.0773,0.3041,0.3814,0.2371,-0.2887,0.5825,0.2268,0.299
2020,Podkarpackie,Podkarpackie,0.431,0.7517,0.0276,0.0741,0.3138,0.4052,0.2069,-0.2638,0.6379,0.2155,0.3017
2020,Podlaskie,Podlaskie,0.3474,0.7651,0.0141,0.0663,0.3333,0.4679,0.1325,-0.1767,0.6245,0.1767,0.2892
2020,Pomorskie,Pomorskie,0.4171,0.6906,0.0235,0.116,0.3011,0.424,0.1575,-0.1934,0.5,0.1616,0.3039
2020,Warmińsko-Mazurskie,Warmińsko-Mazurskie,0.4329,0.765,0.0283,0.0689,0.2809,0.4894,0.1608,-0.1625,0.6608,0.1484,0.318
2020,Wielkopolskie,Wielkopolskie,0.5483,0.807,0.0295,0.0442,0.2936,0.4625,0.1997,-0.2641,0.5147,0.2038,0.2962
2020,Zachodniopomorskie,Zachodniopomorskie,0.4594,0.7561,0.0189,0.0718,0.31,0.4575,0.1588,-0.1966,0.5614,0.1645,0.3025
2020,Łódzkie,Łódzkie,0.2605,0.6667,0.0301,0.0697,0.3357,0.4283,0.1663,-0.2177,0.7759,0.2074,0.289
2020,Śląskie,Śląskie,0.3288,0.6916,0.0269,0.0761,0.3329,0.4195,0.1714,-0.2569,0.6425,0.2019,0.3037
2020,Świętokrzyskie,Świętokrzyskie,0.3602,0.7242,0.0544,0.0675,0.2814,0.4371,0.2139,-0.2814,0.7448,0.1839,0.3039
2021,Dolnośląskie,Dolnośląskie,0.3965,0.6799,0.0222,0.0996,0.3269,0.3907,0.1809,-0.1683,0.4807,0.1267,0.2834
2021,Kujawsko-Pomorskie,Kujawsko-Pomorskie,0.6205,0.7522,0.0156,0.096,0.2701,0.4107,0.221,-0.2768,0.3683,0.1116,0.2991
2021,Lubelskie,Lubelskie,0.4421,0.6901,0.0262,0.095,0.281,0.4105,0.2121,-0.2383,0.5124,0.1708,0.2948
2021,Lubuskie,Lubuskie,0.5315,0.7327,0.015,0.045,0.3153,0.4024,0.2372,-0.2312,0.4955,0.1141,0.3123
2021,Mazowieckie,Mazowieckie,0.591,0.7631,0.0216,0.0787,0.2917,0.4414,0.1813,-0.2323,0.4576,0.1613,0.2901
2021,Małopolskie,Małopolskie,0.3468,0.6532,0.0181,0.1331,0.2909,0.4067,0.1693,-0.2251,0.5941,0.2112,0.3024
2021,Opolskie,Opolskie,0.531,0.823,0.031,0.0619,0.2743,0.4425,0.2168,-0.3009,0.6018,0.1593,0.3097
2021,Podkarpackie,Podkarpackie,0.4263,0.7639,0.0238,0.0856,0.309,0.4295,0.1759,-0.2139,0.6133,0.2155,0.2995
2021,Podlaskie,Podlaskie,0.2712,0.7177,0.0092,0.0996,0.3653,0.4041,0.131,-0.2232,0.6882,0.1845,0.3007
